연월,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80세이상
Jan-20,0,0,3,2,0,5,1,0,0
Feb-20,19,99,853,358,437,578,389,133,54
Mar-20,94,416,1798,653,878,1266,845,518,387
Apr-20,27,76,297,145,112,107,113,58,44
May-20,17,66,223,134,94,83,57,16,13
Jun-20,35,51,188,204,160,247,263,125,58
Jul-20,54,74,258,314,249,233,185,97,42
Aug-20,196,363,700,681,763,1119,1114,517,188
Sep-20,136,161,442,417,485,783,814,442,185
Oct-20,114,151,407,376,385,451,427,210,179
Nov-20,301,592,1296,1096,1233,1347,1031,507,285
Dec-20,1098,1720,3243,3346,3825,5174,4385,2145,1587
Jan-21,893,1433,2235,2246,2591,3282,2644,1242,904
Feb-21,637,829,1597,1732,1643,2021,1756,801,450
Mar-21,749,978,1922,2131,2151,2318,1964,825,376
Apr-21,913,1520,2735,2596,3061,3554,2791,1185,571
May-21,910,1469,2884,2837,3070,3253,2515,985,406
Jun-21,959,1346,3062,2780,3087,2938,1771,515,165
Jul-21,2479,4335,9890,6967,7308,6810,2591,713,279
Aug-21,3424,5541,12236,8925,8353,8237,4364,1364,629
Sep-21,3874,5964,13556,11266,10156,7223,4982,1923,906
Oct-21,4207,6855,8963,9008,7936,5822,6117,2748,1751
Nov-21,7214,9525,7450,10213,9726,10338,15516,7760,4757
Dec-21,20783,19474,18184,23245,24413,24350,33198,13582,6285
Jan-22,25542,35769,43080,32855,33522,22340,13272,4742,3555
Feb-22,297635,329740,394185,348853,369680,257519,175966,68443,45806
Mar-22,1279286,1352698,1390626,1463170,1533009,1201249,997873,461846,279611
Apr-22,448522,481777,554366,601973,639868,546779,468721,248929,151160
May-22,74973,108245,147723,122847,126999,114821,91553,49269,29484
Jun-22,20629,32193,55015,39343,37247,32572,22896,10240,5445
Jul-22,125286,200684,260737,215638,214643,181020,126705,60949,30301
Aug-22,295667,372182,526134,496001,510309,495778,417446,229643,126727
Sep-22,130031,192161,195593,203492,223579,207778,191533,112508,66046
Oct-22,54166,94171,100544,109425,116301,111750,103100,61356,37608
Nov-22,97997,174410,205416,219729,230072,221634,198906,115754,77400
Dec-22,117836,229012,268421,296395,301837,287658,242678,129443,87298
Jan-23,59399,96261,158588,171901,171203,167410,148364,85888,58346
Feb-23,20601,28367,47981,52832,50101,46981,43966,26998,19470
Mar-23,17760,45567,46316,45220,43444,38520,34463,21085,14627
Apr-23,15503,36702,51065,56736,51145,46930,46767,29067,19148
May-23,21431,61744,77476,83275,75658,68542,71734,44984,28503
Jun-23,22743,59677,67360,78237,72981,67012,72696,43725,24345
Jul-23,39774,122479,131079,145442,145701,132112,137775,86238,49027
Aug-23,56368,130100,185016,202690,198131,191068,202589,126565,78541
