일자,남성(명),여성(명)
Jan-20,7,4
Feb-20,1087,1833
Mar-20,2810,4045
Apr-20,447,532
May-20,444,259
Jun-20,700,631
Jul-20,968,538
Aug-20,2561,3080
Sep-20,1939,1926
Oct-20,1388,1312
Nov-20,3969,3719
Dec-20,13277,13246
Jan-21,8774,8696
Feb-21,5836,5630
Mar-21,6968,6446
Apr-21,9567,9359
May-21,9455,8874
Jun-21,8886,7737
Jul-21,22085,19287
Aug-21,28428,24645
Sep-21,33650,26200
Oct-21,30599,22808
Nov-21,42186,40313
Dec-21,92086,91428
Jan-22,108231,106446
Feb-22,1099755,1188072
Mar-22,4666274,5293094
Apr-22,1905385,2236710
May-22,399566,466348
Jun-22,123612,131968
Jul-22,655225,760738
Aug-22,1598942,1870945
Sep-22,698134,824587
Oct-22,349519,438902
Nov-22,678962,862356
Dec-22,873238,1087340
Jan-23,497499,619861
Feb-23,150713,186584
Mar-23,134953,172049
Apr-23,151257,201806
May-23,225645,307702
Jun-23,219168,289608
Jul-23,429483,560144
Aug-23,598551,772517
